ID,Numerical_Column,Categorical_Column,Text_Column,Date_Column
1.0,60.25698121097424,C,"Say turn third term stock clear. Hotel myself card price prevent something hotel.
Another hair who. Particular mother idea place.",2024-05-06
2.0,28.434160731607225,B,"Activity responsibility he together wish dream. Forget challenge world bank.
Fire yourself indeed sing finally side inside administration. We thing we without newspaper.",2024-04-19
3.0,14.523430847556575,B,"Note save claim during character. For look meeting individual left yes.
Air oil cause development perform strong evidence. Source man produce mouth.",2024-02-05
4.0,74.55387437838272,C,Attack give discussion focus great carry young. Along enough identify scene should. Individual perform everyone idea teach statement. Bring leg stuff page travel upon increase.,2024-02-24
5.0,42.5559797833667,C,Collection theory their modern wrong truth either. Wall off movement bit.,2024-05-18
6.0,5.346103252620807,A,"Rate matter end political forward. I international type.
Consumer view foreign present meet point. Sister member recent understand. Wife front charge game answer drop.",2024-04-15
7.0,76.96617982089127,B,Ago Mrs student grow process will. Worry state sister see. Record be foot at.,2024-04-20
8.0,7.787729431082546,A,News bag simple crime machine. Skin sister about pretty Democrat establish make. Bed personal perhaps second figure could throughout. Practice friend door evening billion.,2024-01-09
9.0,16.92964391991833,B,Head federal business somebody before. Kind talk color push tree camera different office. Address true include high general list.,2024-03-10
10.0,76.19249346187753,A,Film rather first vote state. Rate customer military eye everybody choice matter there. Plan study agree ground home community finish.,2024-05-19
11.0,55.22482286616175,B,Unit worker my measure explain chance ground. Some threat window science lead room. List discussion they to two himself.,2024-03-01
12.0,3.4508462987550863,A,Term effort appear Mrs production pass their. Real strong he raise back population. Age such gun become. Thousand lot Democrat Democrat like Democrat.,2024-04-24
13.0,79.02265974333768,B,Fill choose authority much nearly protect. South chance huge them.,2024-02-25
14.0,52.83593663771448,C,"Firm defense lose majority class. Allow task agree little participant free store so.
Difficult design ok it feel. Now student station girl sometimes majority beautiful.",2024-04-04
15.0,58.958549396293584,A,Ground fast according structure mind. Issue oil show degree personal. Thought table toward old. Almost him already.,2024-03-22
16.0,24.986202628698713,B,"Same impact human step everyone their. Indeed world moment different amount. Can top draw make open them Mrs.
Assume own tax reality civil program least. Cut million star relate computer clearly.",2024-02-27
17.0,12.092582297950253,A,"Much method large ahead eye. Simply rule draw eight wife popular. All alone order might middle style.
Class care you discussion. Sit report anything.",2024-04-01
18.0,93.85136530362324,C,Sort off decide role. Almost report nothing tell. Everything small decision expect middle. Main could hotel fall or current guess.,2024-05-04
19.0,7.414783864411137,C,"Minute reflect explain beautiful method remain.
Brother still fire want. Goal unit kitchen before score quickly could strategy. Simple difficult imagine oil just natural.",2024-01-09
20.0,55.8455643212204,B,"Church leave bill want three room nation. Glass yeah eight management. Focus win break speech tell sort.
Room business as figure attack others Mr. Think stop religious his week.",2024-05-06
21.0,97.41500766866366,C,Board them option develop return week Congress oil. Exist however painting four large culture. System activity just pressure forget assume. Reflect speak much stand right.,2024-03-31
22.0,18.049721396970853,C,Child list positive building shake rich sport. Know serve sure worker serious art. Candidate available choice.,2024-01-23
23.0,9.70059071287079,C,"Almost sell view sister medical reveal. Make or ahead address suggest.
Task western service my sound there national so. Pass respond listen reality.",2024-04-24
24.0,10.93330165426631,B,Word hand stop participant space personal. Help science quality collection back itself. Role marriage visit feel hot. Require study still.,2024-04-27
25.0,70.32842204521842,B,Really middle great action money. Fact spring stay them. Billion toward very successful president nothing quite. Film item social southern group hair.,2024-01-14
26.0,49.43138741443154,B,"Create size quite keep us. Pay month smile behavior want suffer laugh. Quite such happy station change.
Recent note seek American everyone blue teach. Lose situation trip plant major report mean.",2024-04-21
27.0,32.52777084292346,C,Investment reason share structure finish consumer each. Discussion card prove ball Mr way. Church partner before condition. Mean student pull manager.,2024-04-22
28.0,73.58376605711112,A,"Nothing beat worker peace institution wrong trouble. Three recently protect.
Employee form board another. Wind section bag wife. End appear wish office.",2024-03-07
29.0,41.60651588244786,A,"Cup tax official develop us order explain human. Close blood black into recently nor. Affect he health fire.
Account how group major security fund.",2024-05-19
30.0,25.724561727517813,B,Factor need here central to happen common. Read dark return power.,2024-05-18
